stackoverflow3.sl,TO_FAIL
stackoverflow4.sl,0.319
stackoverflow5.sl,0.042
stackoverflow6.sl,0.064
stackoverflow7.sl,TO_FAIL
stackoverflow8.sl,0.028
stackoverflow9.sl,0.023
strip-html-from-text-or-numbers.sl,0.014
strip-non-numeric-characters.sl,0.032
strip-numeric-characters-from-cell.sl,TO_FAIL
univ_1_short.sl,0.23
univ_1.sl,0.226
univ_1-long.sl,0.53
univ_1-long-repeat.sl,0.487
univ_2_short.sl,133.19
univ_2.sl,130.854
univ_2-long.sl,132.909
univ_2-long-repeat.sl,162.537
univ_3_short.sl,1.156
univ_3.sl,1.177
univ_3-long.sl,2.226
univ_3-long-repeat.sl,2.161
univ_4.sl,TO
univ_4-long.sl,TO
univ_4-long-repeat.sl,TO
univ_5_short.sl,TO
univ_5.sl,TO
univ_5-long.sl,TO
univ_5-long-repeat.sl,TO
univ_6_short.sl,TO
univ_6.sl,TO
univ_6-long.sl,TO
univ_6-long-repeat.sl,TO
